nb-points,sum-abs
1,1.0000000000000000e+00
2,1.0000000000000000e+00
3,9.9999999999999989e-01
4,1.0000000000000000e+00
5,1.0000000000000000e+00
6,9.9999999999999978e-01
7,1.0000000000000000e+00
8,1.0000000000000002e+00
9,1.1140832067661333e+00
10,1.0000000000000000e+00
11,1.1488979388636054e+00
12,1.0231925765605590e+00
13,1.0614272497820763e+00
14,1.0458793524565464e+00
15,1.0443131174669487e+00
16,1.0220243529144564e+00
17,1.0659050706936930e+00
18,1.0122312465219760e+00
19,1.0069733934896461e+00
20,1.0663792238176903e+00
21,1.1974261676200224e+00
22,1.0639875254394955e+00
23,1.0818754817196758e+00
24,1.1165688524844521e+00
25,1.1463338383878441e+00
26,1.1406212943795224e+00
27,1.0215100784447666e+00
28,1.1192128453808881e+00
29,1.1845320390919005e+00
30,1.0593167069776976e+00
31,1.2183112449047326e+00
32,1.1013861924031503e+00
33,1.0778873852549560e+00
34,1.1726142851901777e+00
35,1.1308238344169181e+00
36,1.1043609801082406e+00
37,1.2587201086312909e+00
38,1.0576489402333404e+00
39,1.1816649741225451e+00
40,1.1392351670696543e+00
41,1.0307295649808430e+00
42,1.1678386564257806e+00
43,1.1924261975922195e+00
44,1.1503929512150231e+00
45,1.1625685596495632e+00
46,1.1097568294844864e+00
47,1.1416536753142605e+00
48,1.0260883344351652e+00
49,1.0817021463450678e+00
50,1.1180209750508179e+00
51,1.1269202345461795e+00
52,1.1069043334622570e+00
53,1.0759964999463643e+00
54,1.0591968343543399e+00
55,1.0976516032187864e+00
56,1.1022450063628397e+00
57,1.1505326608859738e+00
58,1.0494261687296249e+00
59,1.0357527367832617e+00
60,1.1006566504010007e+00
61,1.1360795867733828e+00
62,1.1303240685788023e+00
63,1.1176579627052303e+00
64,1.0585856315835076e+00
65,1.1316712927752870e+00
66,1.1635011461759002e+00
67,1.1977213612644941e+00
68,1.0961705311586800e+00
69,1.1087436615170174e+00
70,1.1457614656821529e+00
71,1.1873364296916404e+00
72,1.1320260928330084e+00
73,1.1301685542833719e+00
74,1.1443467339689997e+00
75,1.1750150252400831e+00
76,1.2137242031065572e+00
77,1.3014831467512720e+00
78,1.1503861012516405e+00
79,1.2099511077807221e+00
80,1.1815877198133906e+00
81,1.1852740933042771e+00
82,1.2450582259713370e+00
83,1.2290752110423895e+00
84,1.1562133775489010e+00
85,1.2560153223985080e+00
86,1.1973938891805280e+00
87,1.2012334160998759e+00
88,1.2042275250894492e+00
89,1.2383888532511873e+00
90,1.1966957480651026e+00
91,1.1846936360342903e+00
92,1.1768446097450636e+00
93,1.1484766042220347e+00
94,1.1105223797980750e+00
95,1.2003262173175893e+00
96,1.1063564670465338e+00
97,1.2110810224702222e+00
98,1.2312947107545851e+00
99,1.1505154024913860e+00
100,1.1721668558452760e+00
101,1.1738140997178910e+00
102,1.1440174858044905e+00
103,1.1832886547788579e+00
104,1.1749590486570338e+00
105,1.2756867314104197e+00
106,1.1711886261358146e+00
107,1.2660791200025185e+00
108,1.3093720591529492e+00
109,1.1609383275916016e+00
110,1.2097121748905157e+00
111,1.2850442468967336e+00
112,1.0723626740285923e+00
113,1.2819740611725341e+00
114,1.1946264742078658e+00
115,1.1102526328286049e+00
116,1.2823940725197684e+00
117,1.2084406687030718e+00
118,1.1343739781023754e+00
119,1.2541811336045654e+00
120,1.0884128941707434e+00
121,1.1647034885443357e+00
122,1.1379894514975191e+00
123,1.1234470246458499e+00
124,1.2042433649421984e+00
125,1.1746007778214480e+00
126,1.1928806662841598e+00
127,1.1794385265722640e+00
128,1.0823785087244375e+00
129,1.1520158168647567e+00
130,1.0977983704995351e+00
131,1.1515254166532509e+00
132,1.1796854580252187e+00
133,1.1494081408534293e+00
134,1.1801843402293875e+00
135,1.1485958023466547e+00
136,1.1394309315813413e+00
137,1.1815974154826565e+00
138,1.1089938233469134e+00
139,1.1487946793026207e+00
140,1.1303203360831555e+00
141,1.1468846538550295e+00
142,1.1452781081136705e+00
143,1.1793361879933686e+00
144,1.1446300973794443e+00
145,1.1575557994056418e+00
146,1.1124702199741523e+00
147,1.1282282809263944e+00
148,1.1433870873472094e+00
149,1.2017229921741845e+00
150,1.0990666637744069e+00
151,1.1348466056808195e+00
152,1.1792648116183364e+00
153,1.1894282951744040e+00
154,1.1585802469140636e+00
155,1.1213307595769739e+00
156,1.1178155576643478e+00
157,1.1777656592223096e+00
158,1.1620645616593126e+00
159,1.1870909034371757e+00
160,1.1299848792880425e+00
161,1.0830876333593111e+00
162,1.1400592039436104e+00
163,1.1828229240552959e+00
164,1.1408293923565751e+00
165,1.1320307642036389e+00
166,1.1255417522798845e+00
167,1.1363487411421040e+00
168,1.1313311320049000e+00
169,1.1841817982685516e+00
170,1.1180633376066453e+00
171,1.1122034938421654e+00
172,1.1243293860799775e+00
173,1.1224079132805391e+00
174,1.1319013176995818e+00
175,1.1193988958075130e+00
176,1.1274713080847705e+00
177,1.1183805348379392e+00
178,1.0600767399361661e+00
179,1.0897874557637841e+00
180,1.1270372507172668e+00
181,1.1259626984542126e+00
182,1.1268185119917342e+00
183,1.0808058705704515e+00
184,1.0916661017757319e+00
185,1.1437626739223823e+00
186,1.1451281731621596e+00
187,1.1275319528705763e+00
188,1.0908017211509924e+00
189,1.1126148984475428e+00
190,1.1360642442166107e+00
191,1.1912939588082765e+00
192,1.1575814688491530e+00
193,1.1320371392946003e+00
194,1.1331879305746240e+00
195,1.1473918708583157e+00
196,1.1810461304595201e+00
197,1.1580150659931805e+00
198,1.1706449807947461e+00
199,1.2116174696756845e+00
200,1.1689425224044065e+00
201,1.1534549890628274e+00
202,1.1702811725651452e+00
203,1.1912609195882311e+00
204,1.1815054414780441e+00
205,1.2207904996854881e+00
206,1.1151701665453799e+00
207,1.1495565985500964e+00
208,1.1710052325123712e+00
209,1.2042681643355657e+00
210,1.1810048120781558e+00
211,1.1516662574832817e+00
212,1.1220937160261248e+00
213,1.2206634046130300e+00
214,1.2607570024057033e+00
215,1.2411164473782510e+00
216,1.1505752430104799e+00
217,1.1912527107255233e+00
218,1.2385669884746249e+00
219,1.2365945065498278e+00
220,1.1830948324732276e+00
221,1.2170956072126731e+00
222,1.1513520235803085e+00
223,1.2173948966551191e+00
224,1.2471658625872315e+00
225,1.2513949427518911e+00
226,1.1784571140342335e+00
227,1.2632701108129696e+00
228,1.2265710382412023e+00
229,1.3323627382095931e+00
230,1.3059535304858267e+00
231,1.1861911382683483e+00
232,1.2702035779203322e+00
233,1.3328988066306160e+00
234,1.2550104701653839e+00
235,1.2910841457878701e+00
236,1.2530063564494545e+00
237,1.2398035872859792e+00
238,1.2181200427031105e+00
239,1.2412714092167993e+00
240,1.2211989501682672e+00
241,1.2192367306779701e+00
242,1.2230591837169533e+00
243,1.2480770521294617e+00
244,1.1789281522390151e+00
245,1.2279560373930354e+00
246,1.2130026695642899e+00
247,1.2470852714820257e+00
248,1.2730167112978208e+00
249,1.2465172658404406e+00
250,1.2402851209287666e+00
251,1.2189563756796031e+00
252,1.2166585419547997e+00
253,1.2898342937989582e+00
254,1.1755281538327638e+00
255,1.2361628219247460e+00
256,1.2621048267578301e+00
257,1.1872756559400490e+00
258,1.2511427265364099e+00
259,1.2749419880589266e+00
260,1.1740907715205720e+00
261,1.2942471151682715e+00
262,1.2388254946366384e+00
263,1.2300505045283607e+00
264,1.2457682864928430e+00
265,1.2157240717914681e+00
266,1.2510937168574701e+00
267,1.2778536819228357e+00
268,1.2395012948849073e+00
269,1.2438578749812483e+00
270,1.2084319697574353e+00
271,1.2872133805804613e+00
272,1.2174091308789339e+00
273,1.1666259199959523e+00
274,1.2224687371537390e+00
275,1.2394515824433094e+00
276,1.2272036125667662e+00
277,1.2731010446946529e+00
278,1.2327896420513902e+00
279,1.2196816880695289e+00
280,1.2044860410260028e+00
281,1.2233241486815765e+00
282,1.1740609215472051e+00
283,1.2190688940000072e+00
284,1.2300585075493284e+00
285,1.2138449417548505e+00
286,1.2212607421068036e+00
287,1.2537876076239103e+00
288,1.1971769034950945e+00
289,1.2146232753903052e+00
290,1.2012709897392013e+00
291,1.2223254232015524e+00
292,1.2055182183695381e+00
293,1.1892904217578577e+00
294,1.2275857375680144e+00
295,1.1986295938665863e+00
296,1.2357648951805091e+00
297,1.2728153025904327e+00
298,1.1965111989014685e+00
299,1.2010077845645333e+00
300,1.2068674341823336e+00
301,1.2471320014434304e+00
302,1.2231814247115318e+00
303,1.2487153607409323e+00
304,1.2436669837142229e+00
305,1.2175018717369135e+00
306,1.2315255463095014e+00
307,1.3086599374900616e+00
308,1.1843368327181090e+00
309,1.2953170951154391e+00
310,1.2758661460493785e+00
311,1.1652000363321064e+00
312,1.2848781588139551e+00
313,1.2846393321724734e+00
314,1.1633542824310270e+00
315,1.3153662431495794e+00
316,1.2456129037133490e+00
317,1.2019548036490759e+00
